level_0,recG_1,recG_10,recG_100,recG_101,recG_102,recG_103,recG_104,recG_105,recG_106,recG_107,recG_108,recG_109,recG_11,recG_110,recG_111,recG_112,recG_113,recG_114,recG_115,recG_116,recG_117,recG_118,recG_119,recG_12,recG_120,recG_121,recG_122,recG_123,recG_124,recG_125,recG_126,recG_127,recG_128,recG_129,recG_13,recG_130,recG_131,recG_132,recG_133,recG_134,recG_135,recG_136,recG_137,recG_138,recG_139,recG_14,recG_140,recG_141,recG_142,recG_143,recG_144,recG_145,recG_146,recG_147,recG_148,recG_149,recG_15,recG_150,recG_151,recG_152,recG_153,recG_154,recG_155,recG_156,recG_157,recG_158,recG_159,recG_16,recG_160,recG_161,recG_162,recG_163,recG_164,recG_165,recG_166,recG_167,recG_168,recG_169,recG_17,recG_170,recG_171,recG_172,recG_173,recG_174,recG_175,recG_176,recG_177,recG_178,recG_179,recG_18,recG_180,recG_181,recG_182,recG_183,recG_184,recG_185,recG_186,recG_187,recG_188,recG_189,recG_19,recG_190,recG_191,recG_192,recG_193,recG_194,recG_195,recG_196,recG_197,recG_198,recG_199,recG_2,recG_20,recG_200,recG_201,recG_202,recG_203,recG_204,recG_205,recG_206,recG_207,recG_208,recG_209,recG_21,recG_210,recG_211,recG_212,recG_213,recG_214,recG_215,recG_216,recG_217,recG_218,recG_219,recG_22,recG_220,recG_221,recG_222,recG_223,recG_224,recG_225,recG_226,recG_227,recG_228,recG_229,recG_23,recG_230,recG_231,recG_232,recG_233,recG_234,recG_235,recG_236,recG_237,recG_238,recG_239,recG_24,recG_240,recG_241,recG_25,recG_26,recG_27,recG_28,recG_29,recG_3,recG_30,recG_31,recG_32,recG_33,recG_34,recG_35,recG_36,recG_37,recG_38,recG_39,recG_4,recG_40,recG_41,recG_42,recG_43,recG_44,recG_45,recG_46,recG_47,recG_48,recG_49,recG_5,recG_50,recG_51,recG_52,recG_53,recG_54,recG_55,recG_56,recG_57,recG_58,recG_59,recG_6,recG_60,recG_61,recG_62,recG_63,recG_64,recG_65,recG_66,recG_67,recG_68,recG_69,recG_7,recG_70,recG_71,recG_72,recG_73,recG_74,recG_75,recG_76,recG_77,recG_78,recG_79,recG_8,recG_80,recG_81,recG_82,recG_83,recG_84,recG_85,recG_86,recG_87,recG_88,recG_89,recG_9,recG_90,recG_91,recG_92,recG_93,recG_94,recG_95,recG_96,recG_97,recG_98,recG_99
recG_12,1,3,54,51,52,53,53,52,51,51,50,52,4,52,57,59,60,7,59,59,58,51,59,0,54,59,56,59,58,58,57,60,57,64,13,58,58,56,58,62,5,2,12,52,52,9,52,61,55,62,56,57,59,53,59,59,5,50,52,51,50,52,53,60,51,50,50,2,51,52,43,57,53,52,51,5,38,51,5,58,50,52,59,58,54,58,57,55,54,3,58,55,57,57,62,51,50,151,153,139,3,150,146,153,156,55,55,54,2,52,64,4,5,58,55,55,52,152,149,137,149,150,40,3,147,150,162,150,63,60,57,57,59,52,50,51,39,40,40,40,40,39,39,35,39,49,148,52,57,51,51,58,143,143,49,50,51,50,157,50,51,51,53,51,4,52,53,52,53,59,61,57,58,59,54,3,59,59,58,56,54,53,58,57,56,57,6,52,60,50,56,56,56,55,56,57,59,4,59,55,55,52,53,56,55,55,57,57,4,59,56,56,54,52,51,58,55,58,55,3,56,53,54,6,59,52,58,59,59,52,13,3,52,50,57,52,52,51,59,51,53
recG_120,53,52,54,51,52,53,53,50,49,49,48,45,52,45,5,7,8,55,7,7,6,38,7,54,0,10,4,7,8,6,5,8,7,12,55,8,6,10,56,54,51,54,54,44,44,55,40,13,5,14,6,5,9,41,60,7,53,45,44,46,44,43,43,10,53,52,49,54,53,54,40,48,45,45,46,55,55,46,53,10,39,44,7,7,42,9,5,3,6,54,6,1,3,5,12,44,38,154,163,156,53,167,163,170,166,46,47,45,54,44,12,54,52,8,1,5,51,157,154,154,157,153,44,51,162,167,168,167,12,8,6,5,7,43,33,46,41,43,43,43,44,45,43,43,43,32,155,44,9,44,44,6,152,159,55,43,34,44,171,37,34,43,45,44,53,44,45,44,46,9,11,3,6,5,2,53,7,8,6,45,43,44,6,8,7,7,54,45,8,43,4,4,6,46,6,8,8,54,9,46,50,49,46,51,46,50,52,49,53,7,52,8,53,52,44,6,44,6,42,55,4,42,42,52,7,39,7,7,8,44,55,55,44,45,46,45,44,44,7,44,52
recG_121,58,56,58,55,56,57,57,52,53,53,52,45,56,45,7,9,14,59,9,9,8,44,9,59,10,0,8,9,10,8,9,10,9,14,59,10,8,12,54,57,56,59,58,44,44,59,40,3,7,14,8,9,11,41,58,9,57,45,42,46,44,43,41,12,57,55,52,59,57,58,46,50,45,45,46,59,59,46,57,12,45,44,9,5,40,9,7,11,12,58,8,11,9,11,14,44,44,156,163,155,57,166,164,169,168,48,49,47,59,42,14,59,56,10,11,11,55,159,156,154,159,155,48,56,162,166,164,166,14,10,8,7,9,43,39,46,43,45,45,47,46,47,47,45,47,38,155,44,11,44,44,12,150,159,58,43,40,44,171,45,40,43,45,44,57,44,45,44,46,11,13,9,8,9,10,58,9,10,8,45,43,44,8,6,9,9,58,45,12,43,8,6,8,50,8,8,8,58,13,52,56,55,52,57,52,56,58,53,58,9,58,10,57,56,50,8,44,8,42,60,10,42,46,56,13,45,9,9,10,44,59,60,44,45,46,51,44,44,9,44,56
recG_122,55,54,56,53,54,55,55,52,51,51,50,43,54,43,3,5,10,57,5,5,4,40,5,56,4,8,0,3,6,4,5,6,5,10,57,6,2,8,56,56,53,56,56,42,42,57,40,11,3,12,4,1,7,41,62,5,55,43,42,44,42,41,41,8,55,54,51,56,55,56,42,50,43,43,44,57,55,44,55,8,41,42,5,5,40,7,3,5,8,56,4,5,3,7,10,42,40,152,162,155,55,166,164,169,167,48,49,47,56,42,10,56,54,6,5,7,53,158,152,154,158,151,46,53,161,166,167,166,10,8,4,3,5,41,35,44,41,43,43,45,44,45,45,43,45,34,155,42,7,42,42,8,151,158,57,41,36,42,171,39,36,41,43,42,55,42,43,42,44,7,9,5,4,5,4,55,5,6,4,43,41,42,4,6,5,5,56,43,6,41,4,2,4,46,4,6,6,56,7,46,50,49,46,51,46,50,52,49,55,5,52,6,55,54,46,4,42,4,40,57,4,40,42,54,9,41,5,5,6,42,57,57,42,43,44,47,42,42,5,42,54
recG_123,58,57,57,54,55,56,56,53,54,54,53,44,57,44,4,6,11,60,6,6,5,41,6,59,7,9,3,0,7,5,6,7,6,11,60,7,3,9,57,57,56,59,59,43,43,60,41,12,4,13,5,4,8,42,63,6,58,44,43,45,43,42,42,9,56,53,50,59,56,57,45,51,44,44,45,60,56,45,56,9,42,43,6,6,41,8,4,8,9,59,5,8,6,8,11,43,43,154,162,155,58,166,164,169,169,49,50,48,59,43,11,59,57,7,8,8,54,158,154,154,158,153,47,56,161,166,166,166,11,9,5,4,6,42,36,45,42,44,44,46,45,46,46,44,46,35,155,43,8,43,43,9,149,158,56,42,37,43,171,42,37,42,44,43,58,43,44,43,45,8,10,6,5,6,7,58,6,7,5,44,42,43,5,7,6,6,59,44,9,42,5,3,5,49,5,7,7,59,10,49,53,52,49,54,49,53,55,52,58,6,55,7,56,55,47,5,43,5,41,60,7,41,45,55,10,42,6,6,7,43,60,60,43,44,45,48,43,43,6,43,55
recG_124,57,56,56,53,54,55,55,52,53,53,52,45,56,45,5,7,10,59,7,7,6,40,7,58,8,10,6,7,0,6,5,8,7,12,59,8,6,10,54,54,55,58,58,44,44,59,40,13,5,14,6,7,7,43,59,7,57,45,44,46,44,43,43,5,55,54,51,58,55,56,44,50,45,45,46,59,59,44,57,10,41,44,7,7,42,9,5,9,8,58,6,9,7,7,7,44,42,152,159,152,57,163,161,166,165,48,49,47,58,44,12,58,56,8,9,7,53,157,152,151,155,151,42,55,158,163,164,163,12,10,6,5,7,43,35,44,41,43,43,45,44,45,45,43,45,34,152,43,9,43,43,8,146,155,57,43,36,44,169,41,36,43,45,44,57,44,45,44,46,1,9,5,6,7,8,57,7,6,6,44,43,44,6,8,7,7,58,45,10,43,4,4,6,46,6,8,8,58,11,46,50,49,46,51,46,50,52,50,57,7,50,8,53,54,46,6,43,6,42,59,6,42,46,56,9,41,7,7,8,44,59,59,44,45,45,47,44,44,7,44,54
recG_125,57,56,56,53,54,55,55,52,53,53,52,43,56,43,3,5,10,59,5,5,4,38,5,58,6,8,4,5,6,0,5,6,5,10,57,6,4,8,54,54,55,58,58,42,42,59,37,11,3,10,4,5,7,38,60,5,57,43,42,44,42,41,41,8,51,54,49,58,55,56,44,49,43,43,44,59,55,44,57,8,39,42,5,5,40,5,3,7,8,58,4,7,5,5,10,42,40,153,161,154,57,164,162,167,168,47,48,46,58,42,10,58,56,6,5,7,53,157,153,153,157,152,44,55,159,164,166,164,10,8,4,3,3,41,33,44,37,41,41,43,42,43,43,41,43,32,154,42,5,42,42,8,150,157,55,41,34,42,171,39,34,41,43,42,57,42,43,42,44,7,9,5,4,5,6,57,5,6,2,41,41,42,4,6,5,5,58,43,8,41,4,2,2,48,4,4,4,58,9,48,52,51,48,53,48,52,54,51,57,5,54,6,55,54,43,4,42,4,40,59,6,40,42,56,9,39,5,5,6,42,59,59,42,43,42,44,42,42,5,42,54
recG_126,56,55,55,52,53,54,54,51,52,52,51,44,55,44,4,6,7,58,6,6,5,39,6,57,5,9,5,6,5,5,0,7,6,11,58,7,5,9,53,53,54,57,57,43,43,58,41,12,4,13,5,6,8,42,59,6,56,44,43,45,43,42,42,7,54,53,50,57,54,55,42,49,44,44,45,58,58,45,56,9,40,43,6,6,41,8,4,6,5,57,5,6,6,4,9,43,41,154,161,154,56,165,161,168,166,47,48,46,57,43,11,57,55,7,6,4,52,157,154,153,155,153,43,54,160,165,166,165,11,9,5,4,6,42,34,43,40,42,42,44,43,44,44,42,44,33,154,43,8,43,43,5,150,157,56,42,35,43,170,40,35,42,44,43,56,43,44,43,45,6,10,2,5,6,5,56,6,5,5,43,41,42,5,7,6,6,57,44,9,42,1,3,5,44,5,7,7,57,10,44,48,47,44,49,44,48,50,47,56,6,50,7,52,53,45,5,42,5,40,58,3,40,42,55,6,40,6,6,7,43,58,58,43,44,44,46,43,43,6,43,53
recG_127,59,58,58,55,56,57,57,54,55,55,54,45,58,45,5,7,12,61,3,3,6,42,3,60,8,10,6,7,8,6,7,0,5,11,61,6,6,8,54,58,57,60,60,44,44,61,40,11,5,12,6,7,7,39,64,3,59,45,44,46,44,43,43,6,57,56,53,60,57,58,46,50,45,45,46,61,59,46,59,10,43,44,3,7,42,7,5,9,10,60,6,9,7,9,8,44,44,156,162,155,59,164,162,167,171,48,49,47,60,44,12,60,58,8,9,9,55,158,156,154,158,155,48,57,159,164,167,163,8,10,6,5,7,43,37,46,43,45,45,47,46,47,47,45,47,36,156,44,7,44,44,10,151,158,59,43,38,44,170,43,38,43,45,44,59,44,45,44,46,9,9,7,6,7,8,59,7,8,6,41,39,40,2,8,5,3,60,45,6,43,6,4,6,46,4,6,4,60,7,46,50,49,46,51,46,50,52,49,59,3,52,6,57,56,48,6,40,6,38,61,8,38,42,58,11,43,7,7,8,44,61,61,44,45,42,49,44,44,7,44,56
recG_128,56,55,55,52,53,54,54,51,52,52,51,44,55,44,4,6,11,58,4,4,5,39,4,57,7,9,5,6,7,5,6,5,0,11,58,3,5,5,53,55,54,57,57,43,43,58,39,12,4,9,5,6,4,40,63,4,56,42,43,43,41,42,42,7,54,53,50,57,54,55,43,47,44,42,45,58,56,45,56,9,40,43,4,6,41,4,4,8,9,57,5,8,6,8,9,43,41,154,160,153,56,162,160,165,168,45,46,44,57,43,11,57,55,5,8,8,52,156,152,152,154,153,45,54,157,162,163,162,9,9,5,4,6,42,34,45,40,42,42,44,43,42,44,42,44,33,153,43,4,43,43,9,149,156,58,42,35,43,170,40,35,42,44,43,56,43,44,43,43,8,6,6,5,6,7,56,6,7,5,40,38,39,3,7,2,4,57,44,7,42,5,3,5,43,1,3,5,57,8,43,47,46,43,48,43,47,49,46,56,4,49,3,54,53,45,5,39,5,37,58,7,37,41,55,10,40,6,6,7,43,58,58,41,44,41,46,43,43,6,41,53
recG_129,63,62,60,59,60,61,59,58,59,57,58,49,62,49,9,9,16,65,10,10,10,43,8,64,12,14,10,11,12,10,11,11,11,0,65,12,10,14,60,56,61,64,64,46,48,65,46,17,9,15,10,11,13,47,66,10,63,49,48,50,48,47,47,13,59,58,55,64,57,58,50,56,49,49,50,65,61,50,63,14,44,48,10,11,46,13,8,13,14,64,10,13,11,13,14,48,43,154,159,152,63,161,159,164,166,54,55,53,64,48,4,64,62,12,13,13,59,157,154,151,155,153,52,61,156,161,164,161,13,14,10,9,11,47,38,50,47,49,49,51,50,51,51,49,51,37,152,48,13,48,48,14,148,155,63,47,39,48,171,44,39,47,49,48,63,48,49,48,50,13,15,11,10,11,12,63,11,12,10,47,45,46,9,12,11,10,64,49,11,47,10,8,10,51,10,12,11,64,12,51,55,54,51,56,51,55,57,53,63,10,57,12,61,60,49,8,46,10,44,65,12,44,50,62,15,44,9,10,10,48,65,65,48,49,48,50,48,48,9,48,60
recG_13,12,10,55,52,53,54,54,53,52,52,51,48,9,48,58,60,61,10,60,60,59,47,60,13,55,59,57,60,59,57,58,61,58,65,0,59,58,57,48,63,10,13,1,48,48,6,47,61,58,63,57,58,60,48,59,60,8,47,48,48,46,48,49,61,46,47,45,11,50,51,41,56,48,48,47,10,38,47,10,59,46,47,60,59,50,57,58,56,55,10,59,56,58,58,63,48,46,152,154,145,10,149,143,150,159,54,54,53,13,48,65,13,10,59,56,56,54,152,150,143,150,151,32,12,146,149,159,147,63,61,58,58,58,48,48,47,31,32,32,32,32,31,31,27,31,47,147,48,58,47,48,59,142,149,45,46,49,46,156,46,49,47,48,47,9,48,49,48,49,60,62,58,59,60,55,10,60,60,57,53,53,52,59,58,58,58,9,48,61,46,57,57,55,53,57,58,58,9,60,53,53,50,51,54,53,53,55,55,9,60,54,57,55,53,48,59,54,59,54,12,57,52,51,11,60,47,59,60,60,48,2,14,48,46,54,49,48,47,60,47,54
recG_130,57,56,56,53,54,53,55,52,53,53,52,45,56,45,5,7,12,59,5,5,6,40,5,58,8,10,6,7,8,6,7,6,3,12,59,0,6,6,54,58,55,58,58,44,44,59,40,13,5,10,6,7,5,41,64,5,57,43,44,44,42,43,43,8,55,54,51,58,54,55,44,50,45,45,46,59,57,46,57,10,41,44,5,7,42,5,5,9,10,58,6,9,7,9,10,44,42,157,161,156,57,165,163,168,171,48,49,47,58,44,12,58,56,6,9,9,51,158,155,155,156,156,46,55,160,165,166,165,10,10,6,5,7,43,35,46,41,43,43,45,44,45,45,43,45,34,156,44,5,44,44,10,150,159,59,43,36,44,173,41,36,43,45,44,57,44,45,44,46,9,7,7,6,7,8,57,7,8,6,41,39,40,4,8,3,5,58,45,8,43,6,4,6,46,2,4,6,58,9,46,50,49,46,51,46,50,52,49,57,5,52,4,55,52,46,6,40,6,38,59,8,38,42,56,11,41,7,7,8,44,59,59,44,45,42,47,44,44,7,44,52
recG_131,57,56,56,53,54,55,55,52,53,53,52,43,56,43,3,5,10,59,5,5,4,40,5,58,6,8,2,3,6,4,5,6,5,10,58,6,0,8,55,56,55,58,57,42,42,59,40,11,3,12,4,3,7,41,62,5,57,43,42,44,42,41,41,8,55,54,51,58,55,56,44,50,43,43,44,59,57,44,57,8,41,40,5,5,40,7,3,7,8,58,4,7,5,7,10,42,42,154,162,154,57,165,162,167,168,48,49,47,58,42,10,58,56,6,7,7,53,157,154,153,158,153,46,55,159,165,166,164,10,8,4,3,5,41,35,44,41,43,43,45,44,45,45,43,45,34,154,42,7,42,42,8,151,157,57,41,36,42,169,41,36,41,41,42,57,42,43,42,44,7,9,5,4,5,6,57,5,6,4,43,41,42,4,6,5,5,58,43,8,41,4,2,4,48,4,6,6,58,9,48,52,51,48,53,48,52,54,51,57,5,54,6,55,54,46,4,42,4,40,59,6,40,44,56,9,39,5,5,6,42,58,59,42,43,44,47,42,42,5,42,54
recG_132,55,54,54,51,52,53,53,50,51,51,50,43,54,43,7,9,14,57,7,7,8,40,7,56,10,12,8,9,10,8,9,8,5,14,57,6,8,0,52,56,53,56,56,42,42,57,40,15,7,10,8,9,7,41,62,7,55,41,42,42,40,41,41,10,53,52,49,56,53,54,44,48,43,43,44,57,55,44,55,12,41,42,7,9,40,7,7,11,12,56,8,11,9,11,12,42,42,155,159,154,55,163,161,166,169,46,47,45,56,42,14,56,54,6,11,11,51,157,153,153,155,154,44,53,158,163,164,163,12,12,8,7,9,41,35,44,39,41,41,43,42,43,43,41,43,34,154,42,7,42,42,12,148,157,57,41,36,42,171,41,36,41,43,42,55,42,43,42,44,11,9,9,8,9,10,55,9,10,8,39,37,38,6,10,5,7,56,43,10,41,8,6,8,44,4,6,8,56,11,44,48,47,44,49,44,48,50,47,55,7,50,6,53,52,44,8,38,8,36,57,10,36,40,54,13,41,9,9,10,42,57,57,42,43,40,45,42,42,9,42,52
recG_133,57,56,51,48,47,48,50,45,46,46,45,49,55,49,55,57,58,56,55,55,56,52,55,58,56,54,56,57,54,54,53,54,53,60,48,54,55,52,0,72,55,58,49,48,48,52,50,54,55,55,56,57,55,49,64,55,54,47,46,48,46,48,47,56,45,39,35,56,48,49,60,63,48,49,50,55,65,50,56,58,53,47,55,57,48,53,54,57,54,55,56,57,57,53,57,48,54,162,159,153,55,163,157,165,168,61,61,60,58,46,60,58,56,54,57,53,48,154,160,154,152,161,35,58,161,163,157,163,60,58,55,55,55,47,53,48,33,34,34,36,38,35,35,33,39,54,160,48,55,48,51,56,147,155,40,47,54,48,165,53,54,47,48,48,55,48,47,46,50,55,55,53,55,57,56,56,57,55,54,51,51,52,54,58,51,55,55,49,58,47,52,54,52,51,52,54,54,54,57,51,56,53,52,57,50,56,58,53,55,55,57,52,47,47,53,56,52,56,52,57,54,50,51,55,57,52,56,56,57,48,50,58,48,49,52,54,48,48,57,48,49
recG_134,63,62,68,61,62,63,67,61,62,60,61,55,61,55,55,57,56,64,57,57,56,56,55,62,54,57,56,57,54,54,53,58,55,56,63,58,56,56,72,0,62,64,63,51,53,64,50,59,55,56,54,57,59,51,65,57,62,54,52,55,53,51,53,55,66,62,63,64,62,63,58,53,54,53,56,64,68,54,62,58,57,53,57,55,54,56,55,55,51,64,56,55,57,52,57,53,54,149,153,139,62,153,148,155,151,51,51,50,64,54,56,66,64,58,54,52,65,147,149,137,152,148,53,63,149,153,150,153,58,58,55,55,56,53,54,54,55,59,58,58,58,55,57,55,57,53,152,53,57,54,54,54,146,141,67,53,55,53,154,57,55,52,54,54,63,53,52,51,54,55,55,53,56,57,54,63,57,55,55,58,58,57,56,54,57,56,63,55,60,53,52,54,54,52,56,55,55,63,61,50,56,53,52,55,50,56,56,58,62,57,54,57,64,64,56,56,58,56,59,65,54,57,61,61,55,57,56,56,57,53,64,65,51,55,59,57,53,54,57,52,64
recG_135,4,2,53,50,51,52,52,51,50,50,49,49,1,49,54,56,57,4,56,56,55,49,56,5,51,56,53,56,55,55,54,57,54,61,10,55,55,53,55,62,0,5,9,49,49,6,50,58,52,59,53,54,56,51,59,56,2,47,49,48,47,49,50,57,50,47,47,5,50,51,41,56,50,49,48,4,38,48,2,55,48,49,56,55,51,55,54,52,51,4,55,52,54,54,59,48,48,153,157,143,2,153,149,156,159,54,54,53,5,49,61,7,4,55,52,52,52,153,151,141,150,152,38,4,150,153,162,153,59,57,54,54,56,49,48,48,37,38,38,38,38,37,37,33,37,47,148,49,54,48,48,55,145,147,47,47,49,47,157,48,49,48,50,48,3,49,50,49,50,56,58,54,55,56,51,4,56,56,55,54,52,51,55,54,54,54,3,49,57,47,53,53,53,53,53,54,56,3,56,53,53,50,51,54,53,53,55,53,3,56,54,53,53,51,50,55,53,55,53,6,53,51,52,3,56,50,55,56,56,49,10,6,49,47,55,51,49,48,56,48,52
recG_136,1,3,52,51,52,53,53,52,51,51,50,52,4,52,57,59,60,7,59,59,58,51,59,2,54,59,56,59,58,58,57,60,57,64,13,58,58,56,58,64,5,0,12,52,52,9,52,61,55,62,56,57,59,53,59,59,5,50,52,51,50,52,53,60,51,48,50,2,51,52,43,57,53,52,51,5,38,51,5,58,50,52,59,58,54,58,57,55,54,3,58,55,57,57,62,51,50,151,155,140,3,152,148,155,158,55,55,54,2,52,63,4,5,58,55,55,52,152,149,138,151,150,40,3,149,152,162,152,63,60,57,57,59,52,50,51,39,40,40,40,40,39,39,35,39,49,148,52,57,51,51,58,143,144,47,50,51,50,157,50,51,51,53,51,4,52,53,52,53,59,61,57,58,59,54,3,59,59,58,56,54,53,58,57,56,57,6,52,60,50,56,56,56,55,56,57,59,4,59,55,55,52,53,56,55,55,57,57,4,59,56,56,54,52,51,58,55,58,55,3,56,53,54,6,59,52,58,59,59,52,13,3,52,50,57,52,52,51,59,51,53
recG_137,11,9,54,51,52,53,53,52,51,51,50,47,8,47,57,59,60,9,59,59,58,46,59,12,54,58,56,59,58,58,57,60,57,64,1,58,57,56,49,63,9,12,0,47,47,5,47,60,57,62,56,57,59,48,60,59,7,46,47,47,45,47,48,60,47,46,46,10,49,50,40,56,47,47,46,9,39,46,9,58,45,46,59,58,49,56,57,55,54,9,58,55,57,57,62,47,45,153,154,145,9,150,144,151,159,54,54,53,12,47,64,12,9,58,55,55,53,152,151,143,150,152,33,11,147,150,159,148,62,60,57,57,59,47,47,46,32,33,33,33,33,32,32,28,32,46,147,47,57,46,47,58,142,149,46,45,48,45,156,45,48,46,47,46,8,47,48,47,48,59,61,57,58,59,54,9,59,59,58,54,52,51,58,57,57,57,8,47,60,45,56,56,56,52,56,57,59,8,59,52,52,49,50,53,52,52,54,54,8,59,53,56,54,52,49,58,53,58,53,11,56,51,52,10,59,46,58,59,59,47,1,13,47,45,55,50,47,46,59,46,53
recG_138,51,49,49,47,50,51,48,50,51,51,50,4,49,4,41,43,47,50,43,43,42,47,41,52,44,44,42,43,44,42,43,44,43,46,48,44,42,42,48,51,49,52,47,0,2,47,43,46,41,46,42,43,45,44,54,43,48,3,2,4,2,2,3,46,49,50,50,50,52,53,46,48,3,4,5,50,54,5,50,46,48,2,43,43,4,43,41,45,43,49,42,45,43,43,48,2,47,144,145,141,50,150,148,152,157,48,48,47,52,4,46,52,49,42,45,42,50,143,144,140,148,143,41,51,142,150,149,151,46,44,41,41,43,4,46,5,37,41,40,42,39,39,41,37,41,45,144,2,44,3,6,45,140,143,53,4,47,2,152,48,47,1,3,3,48,2,3,2,5,45,47,43,41,43,44,49,41,43,42,43,41,40,42,42,43,42,49,4,46,2,42,40,42,50,42,44,44,49,47,46,52,49,46,53,46,52,54,53,49,43,52,41,53,50,42,42,42,42,42,51,44,40,46,49,46,48,42,42,43,2,48,53,2,4,44,43,2,3,43,3,50
recG_139,51,49,47,45,48,49,46,50,51,51,50,4,49,4,41,43,47,50,43,43,42,47,43,52,44,44,42,43,44,42,43,44,43,48,48,44,42,42,48,53,49,52,47,2,0,47,43,46,41,46,42,43,45,44,56,43,48,3,2,4,2,2,3,46,49,52,50,50,52,53,46,48,3,4,5,50,56,5,50,46,48,2,43,43,4,43,41,45,43,49,42,45,43,43,48,2,49,146,147,143,50,152,150,154,159,48,48,47,52,4,48,52,49,42,45,42,48,145,146,142,150,145,41,51,144,152,151,153,48,44,41,41,43,4,46,5,37,41,40,42,39,39,41,37,41,45,145,2,44,3,6,45,142,145,53,4,47,2,154,48,47,1,3,3,48,2,3,2,5,45,47,43,41,43,44,49,41,43,42,45,43,42,42,42,43,42,49,4,46,2,42,40,42,50,42,44,44,49,47,46,52,49,46,53,46,52,54,53,49,43,52,41,51,48,44,42,44,42,44,51,44,42,46,49,46,48,42,42,43,2,48,53,2,4,46,45,2,3,43,3,48
recG_14,8,6,53,50,51,52,52,51,50,50,49,47,5,47,58,60,61,6,60,60,59,47,60,9,55,59,57,60,59,59,58,61,58,65,6,59,59,57,52,64,6,9,5,47,47,0,48,61,56,63,57,58,60,49,59,60,4,45,47,46,45,47,48,61,48,47,47,7,48,49,41,57,47,47,46,6,34,46,6,59,46,47,60,59,49,57,58,56,55,6,59,56,58,58,63,46,46,151,154,143,6,150,145,152,158,55,55,54,9,47,65,9,6,59,56,56,52,151,149,141,148,150,36,8,148,150,157,149,63,61,58,58,60,47,48,46,35,36,36,36,36,35,35,31,35,47,145,47,58,46,47,59,142,147,47,45,49,45,156,46,49,46,48,46,5,47,48,47,48,60,62,58,59,60,55,6,60,60,59,55,53,52,59,58,58,58,5,47,61,45,57,57,57,53,57,58,60,5,60,53,53,50,51,54,53,53,55,55,5,60,54,57,53,51,50,59,54,59,54,8,57,52,51,7,60,48,59,60,60,47,6,10,47,45,56,51,47,46,60,46,52
recG_140,51,49,55,52,51,52,54,47,48,48,47,44,50,44,39,41,45,52,39,39,40,40,39,52,40,40,40,41,40,37,41,40,39,46,47,40,40,40,50,50,50,52,47,43,43,48,0,42,39,42,38,41,39,3,55,39,50,44,43,45,43,43,44,38,49,52,49,51,48,49,40,48,43,44,44,52,57,45,51,42,41,43,39,41,45,38,39,41,40,50,40,41,41,39,40,43,42,152,151,143,51,153,149,153,160,46,46,45,52,45,46,53,50,42,39,41,53,144,152,141,151,151,43,51,151,153,152,152,42,42,39,39,40,42,41,45,39,42,42,42,44,43,41,41,43,40,149,42,38,42,43,43,140,145,53,42,42,43,161,41,42,42,44,43,49,43,44,43,45,41,41,41,40,41,40,50,41,41,39,44,43,44,38,42,39,39,51,44,42,42,40,38,37,50,38,38,39,51,43,48,54,51,48,55,50,54,56,53,51,39,54,40,55,53,47,40,44,40,44,52,42,42,46,50,44,41,40,41,41,43,48,53,43,44,45,47,43,43,41,43,53
recG_141,60,58,60,57,58,59,59,54,55,55,54,47,58,47,10,12,17,61,12,12,11,47,12,61,13,3,11,12,13,11,12,11,12,17,61,13,11,15,54,59,58,61,60,46,46,61,42,0,10,17,11,12,14,41,60,12,59,47,44,48,46,45,43,15,59,57,54,61,59,60,48,50,47,47,48,61,61,48,59,15,48,46,12,8,43,12,10,14,15,60,11,14,12,14,17,46,47,158,166,157,59,168,166,171,170,48,49,47,61,44,17,61,58,13,14,14,57,161,158,156,161,157,50,58,164,168,166,167,17,13,11,10,12,45,42,48,45,47,47,49,48,49,49,47,49,41,157,46,14,46,46,15,153,161,60,45,43,46,170,48,43,45,47,46,59,46,47,46,48,14,16,12,11,12,13,60,12,13,11,45,43,44,11,9,12,12,60,47,15,45,11,9,11,50,11,11,11,60,16,52,56,55,52,57,52,56,58,54,60,12,58,13,59,58,52,11,44,11,42,62,13,42,46,58,16,48,12,12,13,46,61,62,46,47,46,53,46,46,12,46,58
recG_142,54,53,55,52,53,54,54,51,52,52,51,42,53,42,2,4,9,56,4,4,3,39,4,55,5,7,3,4,5,3,4,5,4,9,58,5,3,7,55,55,52,55,57,41,41,56,39,10,0,11,3,4,6,40,59,4,54,42,41,43,41,40,40,7,54,53,50,55,54,55,43,49,42,42,43,56,54,43,54,7,40,41,4,4,39,6,2,6,7,55,3,6,4,6,9,41,41,152,159,152,54,163,161,166,168,47,48,46,55,41,9,55,53,5,6,6,52,157,152,151,155,151,45,52,158,163,164,163,9,7,3,2,4,40,34,43,40,42,42,44,43,44,44,42,44,33,152,41,6,41,41,7,148,155,56,40,35,41,169,40,35,40,42,41,54,41,42,41,43,6,8,4,3,4,5,54,4,5,3,42,40,41,3,5,4,4,55,42,7,40,3,1,3,47,3,5,5,55,8,47,51,50,47,52,47,51,53,50,54,4,53,5,54,53,45,3,41,3,39,56,5,39,43,53,8,40,4,4,5,41,58,56,41,42,43,46,41,41,4,41,53
